Channel	Time	Experimental Counts	Theoretical Counts	Chi2
0		14		
1	9.48E-08	6		#DIV/0!
2	1.90E-07	3		
3	2.84E-07	2		
4	3.79E-07	0		
5	4.74E-07	0		
6	5.69E-07	0		
7	6.64E-07	0		
8	7.59E-07	1		
9	8.53E-07	0		
10	9.48E-07	0		
11	1.04E-06	0		
12	1.14E-06	0		
13	1.23E-06	0		
14	1.33E-06	0		
15	1.42E-06	1		
16	1.52E-06	0		
17	1.61E-06	0		
18	1.71E-06	0		
19	1.80E-06	0		
20	1.90E-06	0		
21	1.99E-06	0		
22	2.09E-06	1		
23	2.18E-06	0		
24	2.28E-06	0		
25	2.37E-06	0		
26	2.47E-06	0		
27	2.56E-06	0		
28	2.65E-06	0		
29	2.75E-06	0		
30	2.84E-06	0		
31	2.94E-06	0		
32	3.03E-06	0		
33	3.13E-06	0		
34	3.22E-06	1		
35	3.32E-06	0		
36	3.41E-06	0		
37	3.51E-06	0		
38	3.60E-06	0		
39	3.70E-06	0		
40	3.79E-06	0		
41	3.89E-06	0		
42	3.98E-06	0		
43	4.08E-06	0		
44	4.17E-06	0		
45	4.27E-06	0		
46	4.36E-06	0		
47	4.46E-06	1		
48	4.55E-06	0		
49	4.65E-06	0		
50	4.74E-06	0		
51	4.84E-06	0		
52	4.93E-06	0		
53	5.03E-06	0		
54	5.12E-06	0		
55	5.21E-06	0		
56	5.31E-06	0		
57	5.40E-06	0		
58	5.50E-06	0		
59	5.59E-06	0		
60	5.69E-06	0		
61	5.78E-06	1		
62	5.88E-06	0		
63	5.97E-06	0		
64	6.07E-06	0		
65	6.16E-06	0		
66	6.26E-06	0		
67	6.35E-06	0		
68	6.45E-06	0		
69	6.54E-06	0		
70	6.64E-06	0		
71	6.73E-06	0		
72	6.83E-06	0		
73	6.92E-06	0		
74	7.02E-06	0		
75	7.11E-06	0		
76	7.21E-06	0		
77	7.30E-06	0		
78	7.40E-06	0		
79	7.49E-06	0		
80	7.59E-06	0		
81	7.68E-06	0		
82	7.77E-06	0		
83	7.87E-06	0		
84	7.96E-06	0		
85	8.06E-06	0		
86	8.15E-06	0		
87	8.25E-06	0		
88	8.34E-06	0		
89	8.44E-06	0		
90	8.53E-06	0		
91	8.63E-06	0		
92	8.72E-06	0		
93	8.82E-06	0		
94	8.91E-06	0		
95	9.01E-06	0		
96	9.10E-06	0		
97	9.20E-06	0		
98	9.29E-06	0		
